,Unnamed: 0,Date,Home_Team,Away_Team,Field_Goal,Field_Goal_Attempts,Field_Goal_%,2Point,2Point_Attempts,2Point_%,3Point,3Point_Attempts,3Point_%,Free_Throw,Free_Throw_Attempt,Free_Throw_%,Points,Away_Field_Goal,Away_Field_Goal_Attempts,Away_Field_Goal_%,Away_2Point,Away_2Point_Attempts,Away_2Point_%,Away_3Point,Away_3Point_Attempts,Away_3Point_%,Away_Free_Throw,Away_Free_Throw_Attempt,Away_Free_Throw_%,Away_Points,Offensive_Efficiency,Away_Offensive_Efficiency,ielo,away_ielo,Away_ielo
723,723,2019-01-25,DEN,PHO,47,94,0.5,32,58,0.552,15,36,0.417,23,29,0.793,132,32,76,0.421,25,46,0.543,7,30,0.233,24,26,0.923,95,140.4255319148936,125.0,1500,1500,1500
724,724,2019-01-25,HOU,TOR,41,91,0.451,31,45,0.689,10,46,0.217,29,33,0.879,121,44,91,0.484,30,55,0.545,14,36,0.389,17,18,0.944,119,132.96703296703296,130.76923076923077,1500,1500,1500
725,725,2019-01-25,MEM,SAC,34,80,0.425,28,60,0.467,6,20,0.3,22,27,0.815,96,37,91,0.407,25,58,0.431,12,33,0.364,13,17,0.765,99,120.0,108.7912087912088,1500,1500,1500
726,726,2019-01-25,MIL,CHO,41,89,0.461,35,58,0.603,6,31,0.194,20,23,0.87,108,36,90,0.4,26,51,0.51,10,39,0.256,17,25,0.68,99,121.34831460674158,110.0,1500,1500,1500
727,727,2019-01-25,ORL,WAS,38,84,0.452,31,51,0.608,7,33,0.212,8,12,0.667,91,35,79,0.443,20,52,0.385,15,27,0.556,10,12,0.833,95,108.33333333333331,120.25316455696202,1500,1500,1500
728,728,2019-01-25,UTA,MIN,37,94,0.394,24,54,0.444,13,40,0.325,19,25,0.76,106,38,90,0.422,30,64,0.469,8,26,0.308,18,21,0.857,102,112.7659574468085,113.33333333333331,1500,1500,1500
729,729,2019-01-26,BOS,GSW,41,99,0.414,26,59,0.441,15,40,0.375,14,15,0.933,111,37,83,0.446,25,50,0.5,12,33,0.364,29,34,0.853,115,112.12121212121212,138.55421686746988,1500,1500,1500
730,730,2019-01-26,DEN,PHI,48,94,0.511,40,70,0.571,8,24,0.333,22,29,0.759,126,38,91,0.418,24,55,0.436,14,36,0.389,20,27,0.741,110,134.04255319148936,120.87912087912088,1500,1500,1500
731,731,2019-01-26,MEM,IND,39,80,0.488,30,52,0.577,9,28,0.321,19,28,0.679,106,32,74,0.432,23,47,0.489,9,27,0.333,30,36,0.833,103,132.5,139.1891891891892,1500,1500,1500
732,732,2019-01-26,NOP,SAS,45,96,0.469,38,69,0.551,7,27,0.259,17,24,0.708,114,47,91,0.516,36,67,0.537,11,24,0.458,21,25,0.84,126,118.75,138.46153846153845,1500,1500,1500
